PAYS	REGION	EVH	EVF	POP	TEMP	PIBH	TINF	TACT	TCHOM	TCHOMLD	MARIAG	TEL	UE15
Belgique	3	75.1	81.1	10309.7	51.2	24600	1.6	59.9	7.3	3.5	3.9	8136	1
Rep-tche	1	72.1	78.7	10206.4	59.5	14300	1.4	65.4	7.3	3.7	5.2	8610	0
Danemark	3	74.8	79.5	5368.4	65.6	25900	2.4	75.9	4.6	0.9	6.9	4478	1
Allemagn	3	75.4	81.2	82440.3	57.3	23000	1.3	65.4	8.7	4.1	4.8	59128	1
Estonie	1	65.3	77.1	1361.2	57.2	9500	3.6	62	9.5	5	4.3	882	0
Grece	2	75.4	80.7	10988	48.7	16400	3.9	56.7	10	5.1	5.3	9902	1
Espagne	2	75.8	83.5	40850.5	53.1	19900	3.6	58.4	11.3	3.9	5.1	38570	1
France	3	75.8	83	59342.1	55.7	24200	1.9	63	8.9	3	4.7	38593	1
Irlande	3	75.2	80.3	3899.9	59.4	29000	4.7	65.6	4.3	1.3	5.1	3526	1
Italie	2	76.8	82.9	56993.7	48.8	22700	2.6	55.5	9	5.3	4.6	59000	1
Chypre	2	76.1	81	705.5	61.9	17700	2.8	68.6	3.9	0.8	14.5	418	0
Lettonie	1	64.8	76	2345.8	58.3	8300	2	60.4	12.6	5.7	4.2	917	0
Lituanie	1	66.3	77.5	3475.6	58.5	9100	0.4	59.9	13.5	7.3	4.7	1632	0
Luxembou	3	74.9	81.5	444.1	54.8	43900	2.1	63.4	2.8	0.8	4.5	382	1
Hongrie	1	68.4	76.7	10174.9	48.9	12300	5.2	56.2	5.6	2.4	4.5	6886	0
Malte	2	75.9	81	394.6	50.4	15500	2.6	54.4	7.5	3.3	5.7	340	0
Pays-Bas	3	76	80.7	16105.3	64.9	25700	3.9	74.4	2.7	0.7	5.2	16005	1
Autriche	3	75.8	81.7	8038.9	59.1	25600	1.7	69.2	4.2	0.9	4.5	8546	1
Pologne	1	70.4	78.7	38632.5	55.7	9600	1.9	51.5	19.8	10.8	5	13898	0
Portugal	2	73.8	80.5	10329.3	62.1	16200	3.7	68.2	5	1.8	5.4	8529	1
Slovenie	1	72.7	80.5	1994	58.1	16100	7.5	63.4	6.1	3.4	3.5	1539	0
Slovaqui	1	69.9	77.8	5379	59.7	10900	3.5	56.8	18.7	12.2	4.7	2923	0
Finlande	3	74.9	81.5	5194.9	63.2	23500	2	68.1	9.1	2.3	5.2	4517	1
Suede	3	77.7	82.1	8909.1	62.7	24200	2	73.6	4.9	1	4.3	7949	1
Royaume-	3	75.9	80.5	59139.9	62.4	24800	1.3	71.7	5.1	1.1	4.7	49921	1
