valeur sexe anciennete age formule
1 2 1 13 20.1 A
2 2 1 13 20.2 A
3 2 0 15 20.2 A
4 2 0 13 20.4 A
5 2 0 26 20.1 A
6 2 1 17 19.9 A
7 2 0 17 20.5 A
8 2 1 15 20.5 A
9 2 0 17 20 A
10 2 1 18 20.2 A
11 2 1 12 20.4 A
12 2 1 12 20.1 A
13 2 1 19 19.9 A
14 2 1 11 19.9 A
15 2 1 13 20.3 A
16 2 1 13 19.9 A
17 2 1 13 20 A
18 2 1 27 20.4 A
19 2 0 15 20.3 A
20 2 0 13 20 A
21 2 0 14 20.1 A
22 2 1 14 20.1 A
23 2 1 15 20 A
24 2 1 15 20.1 A
25 2 1 13 20.5 A
26 2 0 13 20.1 A
27 2 1 13 20 A
28 2 1 12 20 A
29 2 1 13 20.1 A
30 2 1 12 20.3 A
31 2 1 14 20.4 A
32 2 1 12 20.1 A
33 2 1 12 19.9 A
34 2 1 12 20 A
35 2 1 13 19.9 A
36 2 0 16 20 A
37 2 1 13 20.4 A
38 2 1 11 19.9 A
39 2 1 16 19.8 A
40 2 1 14 20.5 A
41 2 1 12 19.9 A
42 2 0 18 20 A
43 2 0 14 19.8 A
44 2 1 12 19.8 A
45 2 1 17 19.9 A
46 2 1 15 20.3 A
47 2 1 13 20.2 A
48 2 1 19 20 A
49 2 0 15 20.1 A
50 2 1 12 20.5 A
51 2 1 15 20.5 A
52 2 0 13 19.9 A
53 2 1 16 20.2 A
54 2 1 16 19.9 A
55 2 1 12 20.5 A
56 2 1 12 20.3 A
57 2 1 21 20 A
58 2 0 13 20 A
59 2 0 13 20.2 A
60 2 0 17 20.1 A
61 2 0 17 20.3 A
62 2 1 11 20 A
63 2 1 11 20 A
64 2 1 14 20 A
65 2 1 13 20 A
66 2 1 12 20.1 A
67 2 1 14 20.1 A
68 2 1 12 20 A
69 2 0 15 20.2 A
70 2 1 12 19.9 A
71 2 1 14 20 A
72 2 1 16 20 A
73 2 1 13 20.2 A
74 2 1 13 20 A
75 2 0 12 19.8 A
76 2 1 13 20.1 A
77 2 1 20 20.1 A
78 2 1 13 20.2 A
79 2 1 14 19.9 A
80 2 1 18 19.9 A
81 2 0 15 19.9 A
82 2 1 14 19.9 A
83 2 1 17 19.9 A
84 2 1 12 20.2 A
85 2 0 15 20.2 A
86 2 0 13 20.1 A
87 2 0 14 20.1 A
88 2 1 13 20 A
89 2 0 13 20.1 A
90 2 1 13 20 A
91 2 1 13 20.1 A
92 2 0 16 20 A
93 2 1 14 20.3 A
94 2 1 16 20 A
95 2 0 17 20.1 A
96 2 1 11 20 A
97 2 1 11 19.9 A
98 2 1 12 20.1 A
99 2 1 15 20.5 A
100 2 1 14 19.9 A
101 2 1 12 20.1 A
102 2 0 17 20.2 A
103 2 0 13 20.2 A
104 2 1 15 20.1 A
105 2 0 14 20 A
106 2 1 16 19.8 A
107 2 1 24 19.9 A
108 2 1 12 20.1 A
109 2 0 21 20.3 A
110 2 1 11 19.8 A
111 2 0 14 19.9 A
112 2 0 13 20.5 A
113 2 1 15 20.4 A
114 2 1 12 20 A
115 2 0 22 20.3 A
116 2 1 11 19.9 A
117 2 1 25 20.4 A
118 2 1 13 20.5 A
119 2 1 18 20.2 A
120 2 1 11 20 A
