NOM REGION POPUL TACT SUPERF NBENTR NBBREV CHOM TELEPH
A Alsace 1624 39.14 8280 35976 241 5.2 700
Q Aquitain 2795 36.62 41308 85531 256 10.2 1300
U Auvergne 1320 37.48 26013 40494 129 9.3 600
N Bas-Norm 1390 38.63 17589 35888 91 9 600
O Bourgogn 1600 38.26 31582 40714 223 8.1 750
B Bretagne 2795 36.62 27208 73763 296 9.5 1300
C Centre 2370 38.78 39151 56753 229 7.9 1100
E Champ-Ar 1340 37.85 25606 24060 155 9.3 550
F Fr-Comte 1090 37.27 16202 27481 159 7.1 450
H Hte-Norm 1730 37.8 12317 37461 181 10.8 750
I Ile-de-F 10660 46.04 12012 273604 6722 7.3 5800
G Lang-Rou 2110 32.12 27376 62202 179 13.2 1000
S Limousin 720 38.06 16942 21721 73 7.9 350
L Lorraine 2300 34.34 23547 48353 185 8.6 950
M Midi-Pyr 2430 37.14 45348 78771 237 9 1100
P Nord-PdC 3960 32.05 12414 78504 278 12.6 1600
Y Pays-Loi 3060 37.93 32082 72027 339 9.6 1300
D Picardie 1810 34.39 19399 36285 139 9.8 750
T Poit-Cha 1590 36.82 25809 44598 133 10.1 750
Z Pr-Cte-A 4260 34.96 31400 132552 610 11 2300
R Rh-Alpes 5350 39.44 48698 159634 1474 7.4 2500
